comment,score
内容有重构，过程有梯度，课堂有生态，教学有效果，是门优秀的线上课。,0.5
课程的资源很丰富，内容讲解由浅入深，与案例结合紧密，注重实践动手能力的培养。在授课过程中，教师通过课程平台与学生有较好的互动和讨论。通过课程的学习，学生具备使用交互式JavaScript语言、jQuery框架等技术设计功能强大、丰富多彩、生动活泼的高质量网页的能力。赞！,0.9999980381758312
"课程内容还挺好，里面包含的知识点很广阔。扩大了自己的见解和能力
",0.9999999999999998
案例挺多，挺好的！,0.9998342066461815
好，很不错，很具体,0.9404801572657495
很良心的教学视频,0.9734351471608311
老师讲的挺好接受的,0.9299875065539034
网课的内容还是不错的,0.9823951306073696
课程非常好,0.879020846582506
"非常有帮助
",0.8479405196443378
讲得很好，值得学习,0.5262327818078083
很好。。。,0.9862676557223596
课程很好，学到了很多,0.7493685984115305
通过这门课的学习，收获到了很多以前不知道的知识，以后会更加努力的学习这门课。,0.9774766994197757
这门课很棒，学到了很多知识。,0.9995619326811218
讲的很好的,0.9965911051413802
学到了很多东西,0.8520271609630065
很好的一个课程，内容清晰易懂，经过学习收获颇多。,0.8246596890803279
"非常好的课程，受益匪浅
",0.9998273908798943
超出预期了,0.9806807713585499
非常好，很喜欢。,0.5173245173720439
非常不错，详细具体易懂！,0.8810681855926947
真的很好呢,0.970228871906419
课程知识点清晰，案例丰富,0.8333900543572382
老师讲课很详细，重点把握的很准确,0.985052236101365
非常好good,0.9979851426046373
"挺好的
讲的内容很通俗易懂",0.5785296045771061
讲课很好，内容丰富,0.9870283511172043
"很棒很棒哦
",0.6244317671399374
好真的是太棒了,0.9735982491451977
很好 学到了很多 讲的很详细,0.9565054568891254
非常非常好用,0.9853930970484108
讲的很详细,0.6558628208940429
课程非常好,0.8347644171385679
课程非常清晰，老师讲解非常细致，必须好评！！！,0.8479405196443378
很有收获！讲的很棒！,0.9979918143321034
学到了很多,0.9830049257460077
内容清晰，讲的很好。,0.8233099152926094
挺好的 =有帮助,0.9365468818571284
"课程分析仔细
",0.8284246220999102
这个真的很好,0.9669213410107459
内容丰富，能学到东西。老师讲解很仔细,0.8333900543572382
课程内容丰富。老师讲解细致。挺容易理解的。,0.9979428930304743
课堂内容充实，简单明了，使学生能够轻轻松松掌握知识。,0.9995743304023603
内容丰富，讲解详细，并且很有条理。,0.9996526551855889
内容丰富。讲师讲解细致。nice,0.9946664427993972
知识丰富，容易理解，教学质量很好,0.9860247393164947
课程内容丰富，授课老师讲述清楚，容易理解，能学到东西，超级棒！,0.994997576465352
真的是非常非常好的视频，我是一个小白，我感觉我找到了一个让自己升华的路径。,0.9989010613894891
课程内容很丰富和详细,0.9895801974087646
这门课很nice，学了很多东西！,0.8634124399506639
"老师讲的很好
",0.9332843127875113
老师特别负责。内容特别好。,0.9741044489300115
教师仪态端庄，讲课内容层次清晰，语言表达流畅。,0.9279158230246493
让我进一步的认识JavaScirpt,0.9989512384150819
good！,0.5499216374108854
课程内容充实，结构清晰，唯一不足的就是声音较为卡顿，应该是后期剪裁的结果，需要好好适应。,0.5
示例代码不全 掩饰不到位 很难学懂,0.992872904101081
最后一章华而不实,0.8778167695924876
"观看体验不佳  后期配音音质差，与老师口型不同步 
讲课速度过于潦草 不能因为是试炼项目就讲的这么快
",0.357874673569888
可以评价负星星么？太垃圾了吧，没学习通好用，还忽悠人还这上面搞学习，我学习完了记录都没有，让人看着是真揪心,0.9962720179927875
"very good
",0.30518683292110627
很有兴趣。。,0.44444444444444464
不错不错了,0.659722898629002
这门课程很好,0.9719626363008976
好啊好啊好,0.8768106943300441
课程内容丰富,0.8487305095093697
wwwww,0.6935731672060436
挺好的挺好的,0.5
挺好的挺好的,0.9545218591690422
挺好的挺好的,0.9545218591690422
挺好的挺好的,0.9545218591690422
挺好的挺好的,0.9545218591690422
wwwww,0.9545218591690422
wwwww,0.5
wwwww,0.5
挺好的挺好的,0.5
laoshishoukehenhao,0.9545218591690422
一点都不连贯。有头无尾。,0.5
讲解清晰。,0.10706883975492532
课程很棒的、！,0.9849241626431139
老师非常好！,0.9440065220080354
课程非常nice。,0.9256538858499127
课程很好。,0.7452861405752153
课程非常有趣,0.9118564814325988
老师讲解的非常透彻！,0.9143821340675947
非常好，讲的非常好,0.9996453599424301
体验非常不错,0.8419083055295619
可以可以秀秀秀秀,0.9108380638862915
very good,0.4737672181921908
好好好好好,0.44444444444444464
课程讲解细致，通俗易懂,0.728161235844729
好好好好好,0.9989059439536454
",,,,,",0.728161235844729
简单易懂 值得学习,0.2500000000000001
非常不错！,0.9850241939890263
very good!,0.8612132352941176
abcde,0.5
"让我更好的去了解这门课程，去学习这些知识
",0.5
非常好的课程呦,0.9930870437867589
很好，，，,0.6259541810417664
太棒了呀！,0.8127556654443949
太好了。。,0.9005911035821151
太好了!!!,0.4245635779858027
"好 非常好 不错
",0.2202230978308426
这门课程非常棒！,0.9481014623419238
好，很好非常好,0.9747803902476773
感谢老师，学到了很多，本来看书自学有点懵，跟着学完之后感觉有信心了,0.9123487356674029
1111111111111,0.9999909877357974
好的哼过过过过,0.5
浅显易懂，非常受用,0.6317853705682674
比较适合新手，老师讲得还是不错的。,0.9772338303044688
老师的讲解非常详细,0.9844842085268243
太好了，真是太爱了！,0.9943042025509062
"课程安排经典，老师讲的真好
",0.531776034737676
棒！！！！！,0.9940260507422632
自我感觉挺好的,0.7069138198539331
。。。。。,0.8406827678461708
"课程非常好
",0.375
很不错，让我系统的了解了JavaScript的基本知识,0.8479405196443378
内容丰富，老师讲课生动，值得同学们学习！！！,0.969643699292522
"课程讲解 知识 不连贯    javascript 对象数据没有普及知识直接教怎么使用。首先容易让我们学生产生极强的抵触感 容易放弃

这个课程还好有PPT 有练习加深理解   整体语速稍快 容易让学生浮躁 加上知识不连贯
所以整体来说不算什么好课程  

",0.9926772988066439
老师上课很棒 ，学到了很多,0.9999999995148501
很好的一门课，理论结合实际,0.9994246354865111
.......,0.9145833648214882
"还不错，基础都能学会
",0.2972972972972975
课程有些生硬,0.9896736204420575
挺不错的，很喜欢。,0.4483582102304732
GOOD...,0.9838994248616542
里面学到了很多关于专业方面的知识，也很好用。,0.5
好好好好好,0.9919427879376149
挺不错的！,0.728161235844729
h还好吧，属于初级教程。,0.9401948468541813
很好，让我学到了很多东西,0.8655643803574384
henhaoyong,0.9373858276901719
讲的很全面，实用性很高,0.5
语速有点快,0.8474259336482161
内容完整 课件讲的清楚 非常满意,0.4312985953770424
挺好的，超出了预期,0.700438013012776
"挺不错的，挺好
",0.8232904188469935
有示范 不错！,0.9855779637462895
举例恰如其分，讲解细致,0.8073206951874
老师，能把完整的课件上传吗？,0.9967933068304917
优秀，适合初学者,0.8927154756974995
挺好的，哈哈,0.9975770437797473
课程安排好,0.8284246220999102
老师很棒棒,0.8430672470397369
nice!,0.9986182729437421
66666,0.5
漂亮可以不错,0.5
nice!,0.9804280122842023
66666,0.5
6666666,0.5
内容讲解的不够细致，视频时长太短，很多东西没有讲出来。,0.5
内容讲解的不够细致，视频时长太短，很多东西没有讲出来。,0.960644882970856
课程挺好的,0.960644882970856
学习到了很多关于JavaScript的知识,0.9338956769670452
perpect,0.9793316194902316
perpect,0.5
perpect,0.5
perpect,0.5
内容很棒  很好  nice,0.5
very good!!!,0.9808035864636052
666666,0.5
12345,0.5
good!!!!!!!111!1!11,0.5
6666666,0.5
老师认真负责，课堂生动有趣，十分满意！！,0.5
"good,很好的课程。",0.9987952794847388
很好，认真仔细,0.9030417808874718
讲解很详细,0.8216561047332396
内容很详细,0.9802263719294556
真厉害，太棒了，泪目,0.6835856100871041
good!,0.9264214321384512
好。。。。。。。,0.5
非常好。。,0.53355414894964
这个软件真不戳,0.6099337096609536
nicenice,0.4158935972296093
good!!!,0.5
"哇！超出预期了 ,真的太棒了耶",0.5
老师上课很有耐心，有中国古典大家闺秀的风范，上淮信不上她的课难免遗憾。,0.7274317471176129
good!,0.9999927431312887
老师课讲得特别好,0.5
非常好，很细致,0.9864488686370473
"很好非常棒
",0.8924597450228802
太好了学到了很多！,0.9839010537084746
script!!!,0.7904630150401103
课程讲的很详细,0.5
学到了知识,0.9366363498033069
"好，很好，非常好
",0.9435674782929006
nice good,0.9123487356674029
nice!!!,0.7423317315079364
very good!,0.5
nice!,0.5
Good!   课程内容丰富，有趣，易于学习。很有价值！,0.5
课程内容丰富，讲课精彩,0.9949595798173134
"内容丰富 
课程good！",0.7602295143017136
good!!!,0.6708098495495545
内容框架很好,0.5
这个课程讲解完整，素材丰富，收益很大，并且有所提高。,0.9262651528945846
Good!,0.9999351349505029
课程很好吧,0.5
老师讲课非常的详细，以前不懂的地方也能听懂了！,0.9118564814325988
特别好，讲解清晰,0.7957457141644201
good66666,0.9936093083992948
很好good！！！,0.5
very good,0.7609438730299719
简直棒极了！！！！,0.44444444444444464
good!,0.5173499832336086
good!,0.5
6666666666666666666666666,0.5
老师讲的很有耐心，内容很详细，从入门到精通，课程非常完备。,0.5
Good..  ,0.9997648204064016
还行还行还行,0.5
内容简洁易懂，老师讲课也很清晰。,0.9318250256198447
老师将得详细清楚,0.998790683525871
跟着老师做每一个的案例，感觉对知识的掌握好多了，但是有时候就是看完自己在做案例的时候，可能还是需要看看老师做的，可能是我做的太少的原因,0.9161350971491827
henbangde kec,0.9999346626450959
内容很详细,0.4737672181921908
老师讲课浅显易懂。请问有没有出教材啊，要是有教材，可以拿来给学生上课。,0.6835856100871041
好好好好好,0.9983542082696496
老师你将实验课得时候声音能再大一点吗，是怕电脑把你吃了咋的,0.728161235844729
怎么没素材,0.9011435492811433
挺不错的！6,0.7753636203236733
11111,0.825109415170697
老师讲的太好了,0.5
非常好 学到了很多东西,0.9053700121288356
这次学习也让我学到了很多东西  ,0.88974370276735
"nice,棒棒哒，",0.9635570328892643
非常好，棒棒的,0.44767845850986676
讲解认真负责，good！,0.9982470080327704
very good!,0.9249912638960267
非常好！老师讲课教会了我许多知识。,0.5
Good!,0.9931025387980024
五星好评，下次还来,0.5
好好好好好,0.4889213842450665
very good,0.728161235844729
henghao,0.44444444444444464
非常好，上了老师的课我学到了很多。,0.5
课程挺有趣的，老师也很认真负责,0.9921650881240082
very nice,0.9960638309068275
棒棒棒棒棒,0.8
此课程非常的具有价值，对我的学习很有帮助。,0.999999416628549
12345,0.9748087490859696
非常有价值，非常好用！,0.5
非常有价值，很有用。,0.7289711394981166
！！！！！！,0.7441216895350015
good!,0.0357142857142857
！！！！！！！,0.5
Good!,0.16666666666666674
非常非常非常好,0.5
GOOD!,0.6558628208940429
老师特别好,0.5
很好的课程 讲的很细,0.9452625953769964
好！好！好！非常好！,0.9816394713024472
棒，属实上乘,0.9058992854757937
可以、不错、很好！,0.9459683018335842
我觉得老师讲的特别好，特别实用,0.9518123289584978
值得学习啊！,0.9865645791060481
老师非常好讲的细致,0.9326804352111147
"好，十分的好
",0.9794211365400239
good!!!,0.7125465173284322
很好 非常好,0.5
课程很棒，很喜欢，好，好，好。,0.8584860988095927
内容充实，教学通俗易懂。,0.997287720795705
good!非常好！,0.9868206097425388
带来很大的收获,0.6317853705682674
good!,0.878671345004457
good！,0.5
very  good!!!!!,0.5
非常好非常好,0.5
ky 挺好的,0.7658088675002498
66666666,0.8129776659132966
非常好，非常好,0.5
very  good!,0.7658088675002498
good good,0.5
"老师教导的很全面，学到了很多
",0.3655594497332365
nice!,0.9845090423764573
非常好，学习的很多,0.5
讲解特别细致，,0.9365830955712616
讲的很详细,0.9829893618328372
1111111,0.8347644171385679
"很好  非常好
",0.5
good thank you,0.8584860988095927
"通俗易懂，很好
",0.44444444444444464
讲的非常好，通俗易懂,0.9636108606123577
挺好的，讲解到位,0.9587563788558264
"课程知识点清晰，案例丰富,非常有帮助,学到了很多.",0.9955826038312638
老师讲解的很全面，给老师好评,0.9963957859458787
课程很有帮助,0.999018383092562
讲课有条理 有责任心 特别责任,0.8577385168669097
老师的讲解非常好,0.7441514104863001
很好的一门课。,0.9949991149180227
棒棒哒！细致易懂,0.8629447511056644
开心  收获很大,0.8805572634999806
很好，非常好,0.9425432633011466
老师能根据本课程知识结构的特点，重点突出，层次分明，通俗易懂。理论和实际相结合，通过例题使知识更条理化。,0.8584860988095927
可以，能听懂，讲得也很详细！,0.9999995111121281
"很好的教会了我js
",0.8660164594721849
111111,0.7621060381308082
"特别特别好

",0.5
"...
..",0.7857010351830562
太棒了，谢谢mooc，mooc真好,0.3694939512006693
课程内容还不错，例子丰富，但速度稍快,0.9498830917642176
简单易懂，实际操作简单,0.9722741958649821
这款应用让我们免费学习到许多有用的知识，太棒了！,0.8360778553292973
怎么变成了只第一章第二章，之后的呢？,0.9997113470723674
视频内容充实，测试作业严谨切实实际的开发,0.7971592941605039
老师我还没有期末考试啊,0.9084576962817164
6666666,0.9948498351431425
可以可以可以,0.5
你好咨询一下此课证书如何申请,0.5262327818078083
学海无涯。,0.07206405788802683
课程视频都挺好的,0.6918437913776668
"讲解很到位
",0.9646295660200396
这个课程包太好了，就是视频有些多，在概括精炼下就好了,0.989710409029036
好好哈哈哈哦啊,0.907834339337873
有收获，很棒,0.886680222980412
77777,0.9503585049123396
还可以，比平时学习效率高一点，但练习题少了点 ,0.5
老师教的好 平台很方便,0.9743868705925697
欲学新法由此学最佳,0.949294820806973
感觉学到了新东西,0.984414348443356
66666,0.8321585662764084
666666666666666,0.5
"至少输入5个字
可以从课程内容组织、授课方式的角度评价课程，或者分享课程给你带来了什么收获和启发
",0.5
感觉挺好的,0.9997275688073989
非常良心的软件,0.8406827678461708
66666,0.3181510628576427
非常的不错,0.5
00000000,0.8612132352941176
不错，讲得好,0.5
学习紧凑，效果 好,0.9454729332754885
6666666,0.9770475629427526
               发的蛙放大,0.5
12345,0.30798887999804037
进一步了解软件的应用，丰富和完善课上所学的知识。,0.5
66666666666666,0.8561923233070918
咳咳！有待提高,0.5
"没有字幕
有点难受",0.3361738824776078
挺好的，很喜欢,0.1684458001689486
"老师讲得很精细，只不过还有些我们可能不是很清楚，希望老师多讲些
",0.9494143095768955
网络经常崩溃,0.9994396676979728
加油加油加油,0.23805621166393642
给学分就好,0.9985630869920382
"学习时间很短 让我没用充分时间进一步的了解  Java script  时间长一点更好 
",0.6317853705682674
"
非常实用，对办公有很大的帮助
",0.9675111949983789
挺好的   我挺喜欢的,0.78134724008487
使用体验很好,0.9624493552681587
课程很基础，一些案例都非常的经典，但是老师的一些概念的讲解有一些不清晰，希望能够做好。,0.8533844453649203
咱俩站一起就是绝代双骄啊~,0.999985052071299
建议老师写的时候不用加write。很多无编程基础的学生通常会蒙逼的,0.7608003231846097
一般般您参考,0.9531225822324969
好，就是做完后没有答案，网上又不好找。烦恼呀！,0.6241573564593128
,0.7442778507463796
